father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
ロージズインメイ,0.15196078431372548,0.1237613019152922,0.1111111111111111,0.16612377850162866
ローズキングダム,0.1417910447761194,0.09561269786040288,0.10714285714285714,0.06976744186046512
ロードアルティマ,0.1282051282051282,0.05330904593840083,0.18181818181818182,0.125
ロードカナロア,0.25394144144144143,0.24200938140584097,0.2641690682036503,0.23393854748603352
ロードバリオス,0.12,0.03495333483371806,0.11764705882352941,0.2
ローレルゲレイロ,0.20454545454545456,0.11377161429728845,0.13043478260869565,0.22727272727272727
ワイルドラッシュ,0.14285714285714285,0.02805337732017585,0.14285714285714285,0.14285714285714285
ワイルドワンダー,0.2631578947368421,0.11642559165289151,0.2631578947368421,0.2631578947368421
ワンアンドオンリー,0.313953488372093,0.23459337514438397,0.22448979591836735,0.4444444444444444
ワンダーアキュート,0.1206896551724138,0.059080936082920844,0.1206896551724138,0.16279069767441862
ワークフォース,0.14925373134328357,0.08457065619233316,0.1,0.16666666666666666
ワールドエース,0.15311653116531165,0.13187359594052192,0.15466666666666667,0.14917127071823205
ヴァンキッシュラン,0.1774193548387097,0.10454921099544019,0.1724137931034483,0.25
ヴァンセンヌ,0.18241042345276873,0.14742301416017994,0.18857142857142858,0.16153846153846155
ヴァーミリアン,0.15384615384615385,0.07107138201019697,0.25,0.20833333333333334
ヴィクトワールピサ,0.1765375854214123,0.15581010359925415,0.1930783242258652,0.12371134020618557
ヴィットリオドーロ,0.25,0.1099063700051813,0.3333333333333333,0.2222222222222222
_GLOBAL_PRIOR_,0.2857142857142857,0.06284989170835438,0.2857142857142857,0.2857142857142857
